# Source: US Census Bureau, Vintage 2023 population estimates for cities and towns (public domain).
# https://www2.census.gov/programs-surveys/popest/datasets/2020-2023/cities/totals/
# The 1,500 largest places, plus a hand-set international list weighted to about 3% of draws.
# Written by tools/fetch-data.mjs. Do not edit by hand.
city,region,country,weight
Shakopee,MN,USA,47158
Roswell,NM,USA,47109
Wauwatosa,WI,USA,47038
Olive Branch,MS,USA,47029
Mentor,OH,USA,46929
Newark,CA,USA,46929
Glenview,IL,USA,46904
East Providence,RI,USA,46900
Charleston,WV,USA,46838
Cerritos,CA,USA,46797
Urbandale,IA,USA,46729
Binghamton,NY,USA,46727
Roseville,MI,USA,46666
Attleboro,MA,USA,46654
Monroe,LA,USA,46616
Keller,TX,USA,46316
Holly Springs,NC,USA,46271
Farmington,NM,USA,46237
Rancho Santa Margarita,CA,USA,46182
Salina,KS,USA,45792
Oakley,CA,USA,45761
Mankato,MN,USA,45742
Hackensack,NJ,USA,45736
Spanish Fork,UT,USA,45557
Strongsville,OH,USA,45511
La Mirada,CA,USA,45505
Sayreville,NJ,USA,45496
Blacksburg,VA,USA,45485
The Colony,TX,USA,45471
Bremerton,WA,USA,45450
Elmhurst,IL,USA,45336
Huntington,WV,USA,45325
Haltom City,TX,USA,45290
Brentwood,TN,USA,45265
Altamonte Springs,FL,USA,45257
Palm Springs,CA,USA,45218
Moorhead,MN,USA,45202
Delaware,OH,USA,45158
Charlottesville,VA,USA,44983
Newnan,GA,USA,44940
York,PA,USA,44867
Riverton,UT,USA,44854
West Lafayette,IN,USA,44829
Post Falls,ID,USA,44798
North Lauderdale,FL,USA,44784
Salem,MA,USA,44744
Hollister,CA,USA,44658
Concord,NH,USA,44629
Rohnert Park,CA,USA,44546
Burlington,VT,USA,44528
Morgan Hill,CA,USA,44478
Littleton,CO,USA,44451
Fairfield,OH,USA,44447
Sierra Vista,AZ,USA,44431
Hickory,NC,USA,44415
Greer,SC,USA,44387
Fond du Lac,WI,USA,44300
Ormond Beach,FL,USA,44277
Wilkes-Barre,PA,USA,44254
Bountiful,UT,USA,44144
Oakland Park,FL,USA,44105
Greenacres,FL,USA,44103
Linden,NJ,USA,43950
Cleveland Heights,OH,USA,43908
Lynnwood,WA,USA,43867
Fuquay-Varina,NC,USA,43817
Lombard,IL,USA,43779
El Centro,CA,USA,43772
Cutler Bay,FL,USA,43762
Freeport,NY,USA,43756
Leominster,MA,USA,43627
Coachella,CA,USA,43590
Hagerstown,MD,USA,43553
Alexandria,LA,USA,43466
Lake Worth Beach,FL,USA,43346
Celina,TX,USA,43317
Huber Heights,OH,USA,43313
Bullhead City,AZ,USA,43302
Schertz,TX,USA,43239
Saginaw,MI,USA,43185
Woonsocket,RI,USA,43135
Pittsfield,MA,USA,43076
Weslaco,TX,USA,43053
Lompoc,CA,USA,43045
DeLand,FL,USA,43009
Danville,CA,USA,42999
Mount Juliet,TN,USA,42912
Indian Trail,NC,USA,42854
North Miami Beach,FL,USA,42789
Altoona,PA,USA,42788
Grove City,OH,USA,42782
Sumter,SC,USA,42766
Edmonds,WA,USA,42701
Manassas,VA,USA,42696
Midland,MI,USA,42663
Fulshear,TX,USA,42616
Jefferson City,MO,USA,42552
Buffalo Grove,IL,USA,42482
Brighton,CO,USA,42477
Florence,AL,USA,42437
Beverly,MA,USA,42318
Marion,IA,USA,42213
Puyallup,WA,USA,42179
Shelton,CT,USA,42144
Peachtree Corners,GA,USA,42136
Cottage Grove,MN,USA,42056
Moline,IL,USA,41965
Brookfield,WI,USA,41884
Kiryas Joel,NY,USA,41857
Danville,VA,USA,41837
Campbell,CA,USA,41700
Prosper,TX,USA,41660
Woburn,MA,USA,41647
Fitchburg,MA,USA,41579
Hallandale Beach,FL,USA,41547
Lancaster,OH,USA,41422
Coppell,TX,USA,41404
Milton,GA,USA,41383
Midlothian,TX,USA,41352
San Bruno,CA,USA,41327
Oviedo,FL,USA,41231
Reynoldsburg,OH,USA,41220
Marlborough,MA,USA,41179
Owasso,OK,USA,41162
Apache Junction,AZ,USA,41153
Rosenberg,TX,USA,41104
Covington,KY,USA,40972
Romeoville,IL,USA,40955
Crystal Lake,IL,USA,40861
Friendswood,TX,USA,40826
Cedar Falls,IA,USA,40737
Belleville,IL,USA,40726
State College,PA,USA,40687
Florence,SC,USA,40609
Plant City,FL,USA,40571
Annapolis,MD,USA,40552
Lake Stevens,WA,USA,40521
Westfield,MA,USA,40509
Cape Girardeau,MO,USA,40508
West Fargo,ND,USA,40400
Windsor,CO,USA,40349
Amherst Town,MA,USA,40277
Germantown,TN,USA,40267
New Berlin,WI,USA,40260
Lancaster,TX,USA,40215
DeKalb,IL,USA,40211
Peachtree City,GA,USA,40193
Findlay,OH,USA,40139
Valley Stream,NY,USA,40007
Bartlett,IL,USA,39992
Rancho Palos Verdes,CA,USA,39980
Rexburg,ID,USA,39975
Wausau,WI,USA,39968
Maplewood,MN,USA,39958
Cedar City,UT,USA,39942
Lake Oswego,OR,USA,39924
Dover,DE,USA,39894
Norwich,CT,USA,39881
Bettendorf,IA,USA,39858
Lathrop,CA,USA,39857
Fort Lee,NJ,USA,39700
Menomonee Falls,WI,USA,39700
Myrtle Beach,SC,USA,39697
Hutchinson,KS,USA,39662
La Vergne,TN,USA,39597
Royal Palm Beach,FL,USA,39489
Georgetown,KY,USA,39462
Hobbs,NM,USA,39386
Kearny,NJ,USA,39370
Prattville,AL,USA,39318
Hurst,TX,USA,39304
Tooele,UT,USA,39263
Grants Pass,OR,USA,39149
Pine Bluff,AR,USA,39123
La Quinta,CA,USA,39081
Douglasville,GA,USA,39049
Culver City,CA,USA,39041
Spartanburg,SC,USA,39040
Issaquah,WA,USA,38977
Carol Stream,IL,USA,38966
Winter Springs,FL,USA,38941
Duncanville,TX,USA,38883
Stanton,CA,USA,38815
Quincy,IL,USA,38803
Hutto,TX,USA,38765
Warren,OH,USA,38751
Aventura,FL,USA,38741
Copperas Cove,TX,USA,38696
Riviera Beach,FL,USA,38663
Lincoln Park,MI,USA,38646
Roy,UT,USA,38592
Keizer,OR,USA,38564
American Fork,UT,USA,38549
Portage,IN,USA,38513
Braintree Town,MA,USA,38490
Woodstock,GA,USA,38473
Atlantic City,NJ,USA,38464
Phenix City,AL,USA,38441
Lewiston,ME,USA,38404
Chelsea,MA,USA,38319
Socorro,TX,USA,38238
Calexico,CA,USA,38224
Urbana,IL,USA,38209
Adelanto,CA,USA,38187
Northglenn,CO,USA,38164
East Point,GA,USA,38115
Bartlesville,OK,USA,38114
Rome,GA,USA,38111
Weatherford,TX,USA,38109
Hilton Head Island,SC,USA,38097
Vestavia Hills,AL,USA,38020
Hot Springs,AR,USA,37994
San Luis,AZ,USA,37966
Westerville,OH,USA,37958
Longview,WA,USA,37925
Parkland,FL,USA,37911
Estero,FL,USA,37908
Park Ridge,IL,USA,37897
Sun Prairie,WI,USA,37890
Monroe,NC,USA,37797
Streamwood,IL,USA,37780
Kearns,UT,USA,37767
San Gabriel,CA,USA,37732
Wheeling,IL,USA,37725
Tupelo,MS,USA,37675
Holyoke,MA,USA,37628
Clovis,NM,USA,37612
Benton,AR,USA,37558
Montclair,CA,USA,37545
Bell Gardens,CA,USA,37467
Oregon City,OR,USA,37351
New Albany,IN,USA,37329
Pleasant Grove,UT,USA,37294
Haines City,FL,USA,37272
Hilliard,OH,USA,37262
Richmond,KY,USA,37206
Muskegon,MI,USA,37183
Oak Creek,WI,USA,37156
Carpentersville,IL,USA,37099
Wildomar,CA,USA,37087
Oswego,IL,USA,37074
North Ridgeville,OH,USA,37058
Plainfield,IN,USA,37047
Leavenworth,KS,USA,37034
Syracuse,UT,USA,37022
Redmond,OR,USA,37009
La Porte,TX,USA,36991
Tucker,GA,USA,36975
Farmers Branch,TX,USA,36917
Greenfield,WI,USA,36916
Muskogee,OK,USA,36873
Canton,GA,USA,36857
Monrovia,CA,USA,36768
Cookeville,TN,USA,36657
La Puente,CA,USA,36516
San Juan,TX,USA,36448
Richfield,MN,USA,36445
Pacifica,CA,USA,36426
Martinez,CA,USA,36395
Cibolo,TX,USA,36374
Sahuarita,AZ,USA,36356
Merrillville,IN,USA,36347
Beloit,WI,USA,36342
Salisbury,NC,USA,36319
Cleburne,TX,USA,36209
Hinesville,GA,USA,36181
Hanover Park,IL,USA,36165
Rock Island,IL,USA,36132
Inver Grove Heights,MN,USA,36114
Lauderdale Lakes,FL,USA,36035
Seguin,TX,USA,36013
Dunedin,FL,USA,35930
El Mirage,AZ,USA,35850
Norristown,PA,USA,35769
Upper Arlington,OH,USA,35743
Texarkana,TX,USA,35741
Butte-Silver Bow,MT,USA,35701
Mason,OH,USA,35660
Panama City,FL,USA,35660
Claremont,CA,USA,35640
Fair Lawn,NJ,USA,35564
Midvale,UT,USA,35561
Torrington,CT,USA,35550
Moorpark,CA,USA,35543
Marion,OH,USA,35531
Wenatchee,WA,USA,35526
Franklin,WI,USA,35485
Springville,UT,USA,35471
Forney,TX,USA,35470
Stockbridge,GA,USA,35452
Roseville,MN,USA,35451
Richmond,IN,USA,35425
Kingman,AZ,USA,35334
Erie,CO,USA,35269
Garner,NC,USA,35265
Mount Vernon,WA,USA,35259
Watertown Town,MA,USA,35256
Bluffton,SC,USA,35243
Addison,IL,USA,35167
Gahanna,OH,USA,35159
Brunswick,OH,USA,35072
University Place,WA,USA,35049
Crown Point,IN,USA,34884
Temple City,CA,USA,34854
Wildwood,MO,USA,34851
Lewiston,ID,USA,34836
Lima,OH,USA,34794
San Juan Capistrano,CA,USA,34754
Fairborn,OH,USA,34729
Kennesaw,GA,USA,34683
Valparaiso,IN,USA,34627
Long Beach,NY,USA,34595
Del Rio,TX,USA,34574
Manitowoc,WI,USA,34568
Holland,MI,USA,34540
Dalton,GA,USA,34508
Randolph Town,MA,USA,34487
Clearfield,UT,USA,34470
Helena,MT,USA,34464
Statesboro,GA,USA,34452
McMinnville,OR,USA,34450
Harker Heights,TX,USA,34447
Kearney,NE,USA,34362
Calumet City,IL,USA,34358
Goshen,IN,USA,34355
West Hollywood,CA,USA,34349
Cooper City,FL,USA,34321
Englewood,CO,USA,34275
College Park,MD,USA,34187
Lufkin,TX,USA,34181
Alabaster,AL,USA,34107
University City,MO,USA,34096
Leawood,KS,USA,33980
Northbrook,IL,USA,33977
Westlake,OH,USA,33972
Stow,OH,USA,33957
Washington,UT,USA,33877
Pleasant Hill,CA,USA,33802
Eastpointe,MI,USA,33676
Fort Mill,SC,USA,33626
Chester,PA,USA,33595
Opelika,AL,USA,33572
Woodridge,IL,USA,33566
Meridian,MS,USA,33551
Rochester,NH,USA,33519
Gillette,WY,USA,33496
Dover,NH,USA,33485
Goldsboro,NC,USA,33469
Desert Hot Springs,CA,USA,33438
Oak Ridge,TN,USA,33397
Manhattan Beach,CA,USA,33369
Walla Walla,WA,USA,33339
Petersburg,VA,USA,33309
Gadsden,AL,USA,33229
Deer Park,TX,USA,33176
Salisbury,MD,USA,33159
Cornelius,NC,USA,33139
Franklin Town,MA,USA,33125
Sherwood,AR,USA,33118
San Dimas,CA,USA,33105
Andover,MN,USA,33089
Savage,MN,USA,32999
Elizabethtown,KY,USA,32978
Spring Valley,NY,USA,32969
Aiken,SC,USA,32947
Kaysville,UT,USA,32941
Florence,KY,USA,32917
Pullman,WA,USA,32863
Long Branch,NJ,USA,32745
Ithaca,NY,USA,32724
Greenville,TX,USA,32717
Goleta,CA,USA,32665
New Smyrna Beach,FL,USA,32655
St. Charles,IL,USA,32654
Dana Point,CA,USA,32567
Zionsville,IN,USA,32534
Garfield,NJ,USA,32456
Massillon,OH,USA,32439
Maryville,TN,USA,32436
Nicholasville,KY,USA,32425
Glendale Heights,IL,USA,32409
Bethel Park,PA,USA,32398
Bella Vista,AR,USA,32368
Duluth,GA,USA,32350
LaGrange,GA,USA,32343
Eagle,ID,USA,32319
Sachse,TX,USA,32294
Fitchburg,WI,USA,32284
Brownsburg,IN,USA,32250
New Bern,NC,USA,32226
Los Gatos,CA,USA,32216
Cottonwood Heights,UT,USA,32204
Foster City,CA,USA,32180
Nacogdoches,TX,USA,32156
Laramie,WY,USA,32152
McDonough,GA,USA,32138
Morristown,TN,USA,32099
Bay City,MI,USA,32082
Sanford,NC,USA,32064
Atwater,CA,USA,32052
Des Moines,WA,USA,31988
O'Fallon,IL,USA,31968
Dania Beach,FL,USA,31915
West Bend,WI,USA,31886
Bell,CA,USA,31864
Fairbanks,AK,USA,31856
Chamblee,GA,USA,31841
Naugatuck,CT,USA,31820
Wheat Ridge,CO,USA,31804
Shawnee,OK,USA,31803
SeaTac,WA,USA,31799
Santa Paula,CA,USA,31792
Mundelein,IL,USA,31790
Poughkeepsie,NY,USA,31772
Houma,LA,USA,31733
Leesburg,FL,USA,31721
Morrisville,NC,USA,31703
Menlo Park,CA,USA,31690
Brooklyn Center,MN,USA,31688
Banning,CA,USA,31680
Michigan City,IN,USA,31659
Rome,NY,USA,31652
Waukee,IA,USA,31645
Bangor,ME,USA,31628
Juneau city and,AK,USA,31555
North Olmsted,OH,USA,31538
Carlsbad,NM,USA,31499
Elk Grove Village,IL,USA,31350
Seaside,CA,USA,31317
Alamogordo,NM,USA,31284
San Pablo,CA,USA,31249
Miami Lakes,FL,USA,31238
Southlake,TX,USA,31137
El Paso de Robles (Paso Robles),CA,USA,31134
Pekin,IL,USA,31126
Northport,AL,USA,31111
Lawrenceville,GA,USA,31015
Beverly Hills,CA,USA,30974
North Attleborough Town,MA,USA,30943
Matthews,NC,USA,30934
Athens,AL,USA,30904
Jackson,MI,USA,30854
Hopkinsville,KY,USA,30813
Liberty,MO,USA,30794
Harrison,NY,USA,30780
Bixby,OK,USA,30698
North Royalton,OH,USA,30687
Casselberry,FL,USA,30595
Port Chester,NY,USA,30584
Westfield,NJ,USA,30559
Leland,NC,USA,30542
Paragould,AR,USA,30520
Lafayette,CO,USA,30439
Morgantown,WV,USA,30429
North Chicago,IL,USA,30416
Ballwin,MO,USA,30410
Bowling Green,OH,USA,30384
Converse,TX,USA,30321
Daphne,AL,USA,30321
Holladay,UT,USA,30298
Princeton,NJ,USA,30289
Highland Park,IL,USA,30272
Enterprise,AL,USA,30271
Laguna Hills,CA,USA,30243
Statesville,NC,USA,30220
Clayton,NC,USA,30216
Gurnee,IL,USA,30193
Newark,DE,USA,30169
Fridley,MN,USA,30156
Lawndale,CA,USA,30155
Middletown,NY,USA,30152
Algonquin,IL,USA,30134
Magna,UT,USA,30087
Hazleton,PA,USA,30037
North Tonawanda,NY,USA,30031
Los Altos,CA,USA,29990
Anderson,SC,USA,29980
Gloucester,MA,USA,29959
Burlingame,CA,USA,29910
La Verne,CA,USA,29898
Winter Park,FL,USA,29894
Kalispell,MT,USA,29886
Rahway,NJ,USA,29813
Central,LA,USA,29781
Atascadero,CA,USA,29700
Schererville,IN,USA,29657
Englewood,NJ,USA,29624
Saratoga,CA,USA,29607
Pooler,GA,USA,29544
Easton,PA,USA,29538
Niles,IL,USA,29513
Independence,KY,USA,29503
Rockledge,FL,USA,29452
Hobart,IN,USA,29408
Laurel,MD,USA,29400
Burton,MI,USA,29376
Northampton,MA,USA,29370
Melrose,MA,USA,29357
Russellville,AR,USA,29338
Crestview,FL,USA,29300
Texarkana,AR,USA,29223
Kirkwood,MO,USA,29174
West Melbourne,FL,USA,29144
Galesburg,IL,USA,29130
Monterey,CA,USA,29116
Raytown,MO,USA,29097
Jacksonville,AR,USA,29094
Chaska,MN,USA,29034
Woodburn,OR,USA,29033
Parkersburg,WV,USA,29025
Oak Park,MI,USA,29023
Southgate,MI,USA,29002
Fredericksburg,VA,USA,28928
Garfield Heights,OH,USA,28900
San Carlos,CA,USA,28862
Bridgewater Town,MA,USA,28818
Suisun City,CA,USA,28743
Twentynine Palms,CA,USA,28734
Jeffersontown,KY,USA,28716
Lake in the Hills,IL,USA,28661
Alvin,TX,USA,28633
Ramsey,MN,USA,28560
Saratoga Springs,NY,USA,28544
Shaker Heights,OH,USA,28541
Slidell,LA,USA,28510
Fountain,CO,USA,28489
Maple Valley,WA,USA,28434
West Springfield Town,MA,USA,28424
Marysville,OH,USA,28423
Happy Valley,OR,USA,28409
Agawam Town,MA,USA,28406
Port Huron,MI,USA,28383
Glen Ellyn,IL,USA,28347
Frankfort,KY,USA,28285
Eagle Pass,TX,USA,28282
Bergenfield,NJ,USA,28274
Huntley,IL,USA,28269
McHenry,IL,USA,28251
Madison Heights,MI,USA,28238
Newburgh,NY,USA,28237
Oakdale,MN,USA,28226
East Palo Alto,CA,USA,28216
Danville,IL,USA,28206
Burbank,IL,USA,28164
Venice,FL,USA,28150
Pearl,MS,USA,28117
Aberdeen,SD,USA,28110
Marion,IN,USA,28105
Ridgecrest,CA,USA,28088
Kuna,ID,USA,28050
New Lenox,IL,USA,28047
Princeton,TX,USA,28027
Prior Lake,MN,USA,28027
Kernersville,NC,USA,28016
Mauldin,SC,USA,28010
Madison,MS,USA,27987
Conway,SC,USA,27985
Monroeville,PA,USA,27974
Jamestown,NY,USA,27965
Glen Cove,NY,USA,27879
Bristol,TN,USA,27854
Brawley,CA,USA,27849
Union City,GA,USA,27832
Mint Hill,NC,USA,27815
Carrollton,GA,USA,27793
Lake Jackson,TX,USA,27768
Homewood,AL,USA,27758
Henderson,KY,USA,27734
Mount Pleasant,WI,USA,27727
Asheboro,NC,USA,27726
Lansing,IL,USA,27713
Williston,ND,USA,27706
Greenville,MS,USA,27644
Winchester,VA,USA,27617
Fremont,NE,USA,27602
Kent,OH,USA,27601
Rosemount,MN,USA,27590
Maryland Heights,MO,USA,27575
Marshalltown,IA,USA,27574
Lemon Grove,CA,USA,27569
New London,CT,USA,27560
Jenks,OK,USA,27553
Allen Park,MI,USA,27528
Dodge City,KS,USA,27514
Simpsonville,SC,USA,27506
Anna,TX,USA,27501
Williamsport,PA,USA,27470
Neenah,WI,USA,27453
Thomasville,NC,USA,27435
Tualatin,OR,USA,27383
Garden City,KS,USA,27371
Millville,NJ,USA,27358
Elk River,MN,USA,27342
Hamtramck,MI,USA,27339
Green,OH,USA,27338
Gladstone,MO,USA,27329
Camas,WA,USA,27254
Tumwater,WA,USA,27239
Cabot,AR,USA,27190
Palm Springs,FL,USA,27132
Walnut,CA,USA,27104
New Iberia,LA,USA,27080
Wooster,OH,USA,27030
Wilmette,IL,USA,27026
Oxford,MS,USA,27008
Lindenhurst,NY,USA,26972
Temple Terrace,FL,USA,26972
Wasco,CA,USA,26917
Granite City,IL,USA,26908
Mason City,IA,USA,26906
Troy,OH,USA,26848
Sebastian,FL,USA,26846
South Portland,ME,USA,26840
Lemoore,CA,USA,26809
Forest Grove,OR,USA,26799
Round Lake Beach,IL,USA,26783
Trussville,AL,USA,26770
Bridgeton,NJ,USA,26763
Paducah,KY,USA,26749
Balch Springs,TX,USA,26711
Clinton,MS,USA,26698
Edwardsville,IL,USA,26698
Vernon Hills,IL,USA,26677
West Linn,OR,USA,26629
Belmont,CA,USA,26622
Hercules,CA,USA,26582
Ossining,NY,USA,26542
Lockport,IL,USA,26537
Owatonna,MN,USA,26534
Horn Lake,MS,USA,26468
Benicia,CA,USA,26429
Superior,WI,USA,26423
Plum,PA,USA,26391
Yukon,OK,USA,26388
Moscow,ID,USA,26387
Easley,SC,USA,26386
Lebanon,PA,USA,26378
Shoreview,MN,USA,26374
Katy,TX,USA,26360
Wilsonville,OR,USA,26345
Denison,TX,USA,26343
Sanger,CA,USA,26343
Garden City,MI,USA,26325
Moses Lake,WA,USA,26299
Paramus,NJ,USA,26282
Batavia,IL,USA,26235
Toronto,,Canada,658069
Montreal,,Canada,307099
Vancouver,,Canada,175485
Calgary,,Canada,131614
Winnipeg,,Canada,87743
Ottawa,,Canada,109678
London,,England,350970
Manchester,,England,109678
Birmingham,,England,87743
Lagos,,Nigeria,307099
Abuja,,Nigeria,109678
Accra,,Ghana,131614
Kinshasa,,DR Congo,65807
Yaounde,,Cameroon,65807
Sydney,,Australia,175485
Melbourne,,Australia,153550
Brisbane,,Australia,87743
Auckland,,New Zealand,109678
Apia,,Samoa,131614
Pago Pago,,American Samoa,219356
Nuku'alofa,,Tonga,109678
Berlin,,Germany,109678
Munich,,Germany,87743
Hamburg,,Germany,65807
Frankfurt,,Germany,65807
Paris,,France,65807
Vienna,,Austria,43871
Stockholm,,Sweden,43871
Copenhagen,,Denmark,43871
Oslo,,Norway,21936
Dublin,,Ireland,43871
Kingston,,Jamaica,109678
Nassau,,Bahamas,87743
Mexico City,,Mexico,131614
Monterrey,,Mexico,65807
Sao Paulo,,Brazil,43871
Tokyo,,Japan,21936
Seoul,,South Korea,21936
Zurich,,Switzerland,21936
Amsterdam,,Netherlands,21936
