# Source: US Census Bureau, Vintage 2023 population estimates for cities and towns (public domain).
# https://www2.census.gov/programs-surveys/popest/datasets/2020-2023/cities/totals/
# The 1,500 largest places, plus a hand-set international list weighted to about 3% of draws.
# Written by tools/fetch-data.mjs. Do not edit by hand.
city,region,country,weight
Cedar Rapids,IA,USA,135958
Elizabeth,NJ,USA,135829
Palm Bay,FL,USA,135566
Dayton,OH,USA,135512
New Haven,CT,USA,135319
Coral Springs,FL,USA,134906
Meridian,ID,USA,134801
West Valley City,UT,USA,134470
Pasadena,CA,USA,133560
Lewisville,TX,USA,133553
Kent,WA,USA,133378
Sterling Heights,MI,USA,133306
Fargo,ND,USA,133188
Carrollton,TX,USA,132918
Santa Clara,CA,USA,131062
Round Rock,TX,USA,130406
Norman,OK,USA,130046
Columbia,MO,USA,129330
Abilene,TX,USA,129043
Athens-Clarke County,GA,USA,128628
Pearland,TX,USA,127736
Clovis,CA,USA,125826
Topeka,KS,USA,125475
College Station,TX,USA,125192
Simi Valley,CA,USA,125113
Allentown,PA,USA,124880
West Palm Beach,FL,USA,124130
Thousand Oaks,CA,USA,123463
Vallejo,CA,USA,122807
Wilmington,NC,USA,122698
Rochester,MN,USA,122413
Concord,CA,USA,122315
Lakeland,FL,USA,122264
North Charleston,SC,USA,121469
Lafayette,LA,USA,121467
Arvada,CO,USA,121414
Independence,MO,USA,120922
Billings,MT,USA,120864
Fairfield,CA,USA,120768
Hartford,CT,USA,119669
Ann Arbor,MI,USA,119381
Broken Arrow,OK,USA,119194
Berkeley,CA,USA,118962
Cambridge,MA,USA,118214
Richardson,TX,USA,117435
Antioch,CA,USA,117096
High Point,NC,USA,116926
Clearwater,FL,USA,116850
League City,TX,USA,116320
Odessa,TX,USA,115743
Manchester,NH,USA,115474
Evansville,IN,USA,115332
Waterbury,CT,USA,114990
West Jordan,UT,USA,114908
Las Cruces,NM,USA,114892
Westminster,CO,USA,114875
Lowell,MA,USA,114296
Nampa,ID,USA,114268
Richmond,CA,USA,114106
Pompano Beach,FL,USA,113619
Carlsbad,CA,USA,113495
Menifee,CA,USA,113433
Provo,UT,USA,113343
Elgin,IL,USA,113310
Greeley,CO,USA,112609
Springfield,IL,USA,112544
Beaumont,TX,USA,112193
Lansing,MI,USA,112115
Murrieta,CA,USA,111878
Goodyear,AZ,USA,111805
Allen,TX,USA,111620
Tuscaloosa,AL,USA,111338
Everett,WA,USA,111180
Pueblo,CO,USA,111077
New Braunfels,TX,USA,110958
South Fulton,GA,USA,110920
Miami Gardens,FL,USA,110717
Gresham,OR,USA,110685
Temecula,CA,USA,110682
Rio Rancho,NM,USA,110660
Peoria,IL,USA,110460
Tyler,TX,USA,110327
Sparks,NV,USA,110323
Concord,NC,USA,110119
Santa Maria,CA,USA,109987
San Buenaventura (Ventura),CA,USA,109058
Buckeye,AZ,USA,108909
Downey,CA,USA,108816
Sugar Land,TX,USA,108515
Costa Mesa,CA,USA,108354
Conroe,TX,USA,108248
Spokane Valley,WA,USA,108235
Davie,FL,USA,107799
Hillsboro,OR,USA,107730
Jurupa Valley,CA,USA,107321
Centennial,CO,USA,106883
Boulder,CO,USA,105898
Dearborn,MI,USA,105811
Edinburg,TX,USA,105799
Sandy Springs,GA,USA,105793
Green Bay,WI,USA,105744
West Covina,CA,USA,105617
Brockton,MA,USA,104890
St. George,UT,USA,104578
Bend,OR,USA,104557
Renton,WA,USA,104491
Lee's Summit,MO,USA,104184
Fishers,IN,USA,104094
El Monte,CA,USA,103794
South Bend,IN,USA,103395
Rialto,CA,USA,103391
El Cajon,CA,USA,102991
Inglewood,CA,USA,102865
Burbank,CA,USA,102755
Wichita Falls,TX,USA,102691
Vacaville,CA,USA,102526
Carmel,IN,USA,102296
Palm Coast,FL,USA,102113
Fayetteville,AR,USA,101680
Quincy,MA,USA,101597
San Mateo,CA,USA,101327
Chico,CA,USA,101301
Lynn,MA,USA,101241
Albany,NY,USA,101228
Yuma,AZ,USA,100858
New Bedford,MA,USA,100695
Suffolk,VA,USA,100659
Hesperia,CA,USA,100633
Davenport,IA,USA,100354
Boca Raton,FL,USA,99974
Daly City,CA,USA,99833
San Angelo,TX,USA,99262
Deltona,FL,USA,98739
Longmont,CO,USA,98630
Vista,CA,USA,98344
Kenosha,WI,USA,98211
Edmond,OK,USA,98103
Norwalk,CA,USA,98078
Tracy,CA,USA,98010
Federal Way,WA,USA,97701
Fort Myers,FL,USA,97372
Roanoke,VA,USA,97171
Beaverton,OR,USA,96945
Sunrise,FL,USA,96808
Portsmouth,VA,USA,96793
Yakima,WA,USA,96750
Plantation,FL,USA,96548
Georgetown,TX,USA,96312
Lawrence,KS,USA,96207
Orem,UT,USA,95519
Mount Pleasant,SC,USA,95232
Asheville,NC,USA,95056
Reading,PA,USA,94903
Bellingham,WA,USA,94720
San Marcos,CA,USA,94188
O'Fallon,MO,USA,94074
Fall River,MA,USA,93840
Merced,CA,USA,93692
Avondale,AZ,USA,93545
Chino,CA,USA,93114
Temple,TX,USA,93095
Indio,CA,USA,93057
Erie,PA,USA,92957
Redding,CA,USA,92727
Norwalk,CT,USA,92458
Hoover,AL,USA,92448
Hemet,CA,USA,92368
Livonia,MI,USA,92185
Sandy,UT,USA,91943
Roswell,GA,USA,91706
Kirkland,WA,USA,91194
Carson,CA,USA,91139
Manteca,CA,USA,91059
Nashua,NH,USA,91003
Compton,CA,USA,90986
Mission Viejo,CA,USA,90624
Lawton,OK,USA,90245
Lehi,UT,USA,90227
South Gate,CA,USA,90070
Greenville,NC,USA,90053
Santa Monica,CA,USA,89922
Fort Smith,AR,USA,89770
Trenton,NJ,USA,89620
Bryan,TX,USA,89615
Champaign,IL,USA,89189
Santa Fe,NM,USA,89167
North Port,FL,USA,88934
Westminster,CA,USA,88729
Franklin,TN,USA,88558
Clifton,NJ,USA,88461
Newton,MA,USA,88415
Springdale,AR,USA,88224
Lawrence,MA,USA,88172
Duluth,MN,USA,87680
Waukegan,IL,USA,87642
Bloomington,MN,USA,87398
Troy,MI,USA,87339
Deerfield Beach,FL,USA,87325
Mission,TX,USA,87292
Ogden,UT,USA,87267
Melbourne,FL,USA,86960
Santa Barbara,CA,USA,86499
Citrus Heights,CA,USA,86239
Danbury,CT,USA,86124
Lake Forest,CA,USA,85840
Frederick,MD,USA,85793
San Leandro,CA,USA,85784
Sioux City,IA,USA,85727
Kennewick,WA,USA,85158
Medford,OR,USA,85098
